id,accepted
485035,0
278306,0
478061,0
109822,0
272343,0
249151,0
471248,0
199460,0
375015,0
385904,0
250124,0
111586,0
291350,0
274884,0
25832,0
418722,0
491531,0
230143,0
173907,0
239415,0
76156,0
274749,0
442277,0
217755,0
227111,0
21484,0
160194,0
312038,0
277627,0
304581,0
24501,0
35076,0
198696,0
39901,0
337453,0
109436,0
181265,0
90281,0
272389,0
165715,0
269740,0
348006,0
63132,0
393440,0
196211,0
96456,0
229752,0
44498,0
310072,0
91869,0
84962,0
286901,0
174062,0
4324,0
19160,0
315469,0
78119,0
32952,0
445535,0
195980,0
293751,0
448301,0
339736,0
384264,0
80850,0
339375,0
339640,0
428496,0
420986,0
119452,0
417104,0
326794,0
122822,0
350259,0
483872,0
240801,0
184446,0
54151,0
394251,0
47420,0
200875,0
280725,0
383571,0
398515,0
85323,0
83070,0
114979,0
164145,0
382291,0
3830,0
415400,0
262088,0
104183,0
260854,0
9468,0
493240,0
248817,0
443222,0
385636,0
42208,0
471886,0
247646,0
480333,0
56208,0
273778,0
230877,0
6278,0
463015,0
65566,0
280633,0
462501,0
243467,0
251461,0
404265,0
144604,0
170875,0
452257,0
493471,0
98399,0
236979,0
175543,0
104189,0
2923,0
308673,0
377336,0
127970,0
98688,0
4278,0
494890,0
15645,0
180517,0
456287,0
4475,0
191798,0
264925,0
356306,0
474654,0
200634,0
146038,0
274034,0
220314,0
342056,0
143419,0
53671,0
104671,0
412195,0
309743,0
475728,0
382401,0
383,0
464867,0
160190,0
359562,0
445119,0
341857,0
417980,0
208972,0
386379,0
451226,0
69534,0
247825,0
232346,0
201024,0
456331,0
162427,0
439051,0
176791,0
316757,0
147384,0
177692,0
455736,0
464779,0
119140,0
346409,0
211734,0
45122,0
159733,0
225105,0
404251,0
261393,0
179558,0
496907,0
81065,0
156967,0
323728,0
81900,0
185320,0
310457,0
232481,0
396539,0
271216,0
196595,0
388015,0
331146,0
26541,0
395182,0
492788,0
44497,0
176534,0
471880,0
148482,0
243155,0
476914,0
124637,0
458732,0
61612,0
260865,0
174272,0
191844,0
416287,0
83586,0
4113,0
398202,0
403248,0
159500,0
21248,0
453915,0
86770,0
437886,0
40648,0
46062,0
60635,0
223482,0
34617,0
75771,0
86660,0
392077,0
104649,0
309169,0
460345,0
189846,0
290352,0
70374,0
368611,0
476094,0
343283,0
189283,0
150791,0
302086,0
164316,0
292858,0
133982,0
56284,0
393557,0
419515,0
133156,0
447651,0
70226,0
162155,0
81,0
423086,0
85984,0
305706,0
438571,0
219132,0
67409,0
377982,0
496863,0
193214,0
86523,0
270167,0
456549,0
205825,0
481932,0
441583,0
28443,0
372177,0
346040,0
61409,0
438981,0
58378,0
74314,0
347632,0
26740,0
155758,0
280004,0
410385,0
392998,0
349853,0
187367,0
317106,0
457447,0
95259,0
240981,0
206156,0
149545,0
467283,0
43204,0
206464,0
259654,0
250763,0
196581,0
146276,0
330147,0
418497,0
395065,0
398710,0
322726,0
289005,0
446358,0
354864,0
369972,0
445093,0
443640,0
440749,0
251194,0
447912,0
382921,0
25523,0
265568,0
444982,0
14863,0
75982,0
125092,0
482910,0
105585,0
394263,0
456602,0
242917,0
384702,0
470204,0
245467,0
211443,0
42277,0
149121,0
241508,0
104160,0
308906,0
400790,0
139766,0
232245,0
127852,0
300357,0
14620,0
313892,0
378639,0
79078,0
449081,0
364744,0
375137,0
335914,0
221534,0
489839,0
319543,0
275065,0
439181,0
30452,0
86049,0
256984,0
186575,0
148627,0
455184,0
452244,0
397280,0
284960,0
162360,0
302251,0
67020,0
349460,0
108773,0
188800,0
266892,0
286034,0
124488,0
447557,0
488841,0
255036,0
102754,0
126450,0
12782,0
489043,0
126011,0
17675,0
179428,0
4071,0
423352,0
233724,0
158288,0
482854,0
211732,0
88884,0
372472,0
113522,0
48918,0
189066,0
47486,0
168144,0
184002,0
299745,0
165861,0
348879,0
489566,0
320737,0
442417,0
289078,0
212601,0
272740,0
488721,0
420699,0
43981,0
329492,0
253998,0
102416,0
153061,0
276518,0
235821,0
97717,0
275734,0
473437,0
216080,0
312456,0
393166,0
401833,0
292268,0
342077,0
74849,0
400931,0
347103,0
6168,0
478444,0
191540,0
250902,0
123348,0
357463,0
360640,0
331353,0
195088,0
397695,0
54846,0
427502,0
96784,0
391526,0
345845,0
441080,0
2235,0
444393,0
462965,0
39144,0
388984,0
313272,0
386476,0
